MAP_20210402-072130-429_11039	370231.656	6127918.02	88.977	31.635321	-6.918202	-114.61161	26508.310703	7:21:31.310703
MAP_20210402-072130-608_11040	370226.969	6127914.39	89.160	33.244078	-7.279226	-112.24578	26508.490521	7:21:31.490521
MAP_20210402-072130-788_11041	370222.194	6127910.93	89.322	34.678267	-7.534126	-109.92598	26508.670303	7:21:31.670303
MAP_20210402-072130-969_11042	370217.333	6127907.65	89.447	35.984011	-7.737324	-107.43181	26508.850120	7:21:31.850120
MAP_20210402-072131-147_11043	370212.390	6127904.54	89.531	37.106734	-7.916525	-104.78572	26509.029937	7:21:32.029937
MAP_20210402-072131-327_11044	370207.369	6127901.62	89.573	38.115896	-8.104080	-102.17660	26509.209755	7:21:32.209755
MAP_20210402-072131-507_11045	370202.273	6127898.90	89.581	38.993077	-8.086900	-99.850724	26509.389565	7:21:32.389565
MAP_20210402-072131-686_11046	370197.105	6127896.39	89.559	39.684675	-8.048500	-97.725061	26509.569382	7:21:32.569382
MAP_20210402-072131-866_11047	370191.878	6127894.12	89.512	40.277917	-8.071176	-95.315740	26509.749199	7:21:32.749199
MAP_20210402-072146-422_11048	370207.874	6128049.20	83.075	3.2194900	-8.077997	-284.96152	26524.305072	7:21:47.305072
MAP_20210402-072146-602_11049	370212.020	6128050.12	83.049	3.3699270	-8.361269	-284.38102	26524.484883	7:21:47.484883
MAP_20210402-072146-781_11050	370216.174	6128050.99	83.009	3.4984150	-8.872214	-283.75273	26524.664699	7:21:47.664699
MAP_20210402-072146-962_11051	370220.339	6128051.83	82.962	3.4401850	-9.261515	-283.27006	26524.844488	7:21:47.844488
MAP_20210402-072147-142_11052	370224.517	6128052.64	82.904	3.1094140	-9.555789	-282.94964	26525.024305	7:21:48.024305
MAP_20210402-072147-322_11053	370228.709	6128053.42	82.827	2.6251850	-9.720106	-282.83021	26525.204116	7:21:48.204116
MAP_20210402-072147-501_11054	370232.912	6128054.16	82.717	2.1346120	-9.777061	-282.62417	26525.383933	7:21:48.383933
MAP_20210402-072147-681_11055	370237.124	6128054.87	82.569	1.6361140	-9.770109	-282.19125	26525.563751	7:21:48.563751
